term,label,definition
http://purl.obolibrary.org/obo/ECAO_0010549,animal hemisphere,animal hemisphere
http://purl.obolibrary.org/obo/ECAO_0010550,animal tier 2,animal tier 2
http://purl.obolibrary.org/obo/ECAO_0010551,blastomere of 4-cell embryo,blastomere of 4-cell embryo
http://purl.obolibrary.org/obo/ECAO_0010552,micromere,micromere
http://purl.obolibrary.org/obo/ECAO_0010553,multicellular anatomical structure,multicellular anatomical structure
http://purl.obolibrary.org/obo/ECAO_0010555,prospective endoderm,prospective endoderm
http://purl.obolibrary.org/obo/ECAO_0010556,prospective endomesoderm,prospective endomesoderm
http://purl.obolibrary.org/obo/ECAO_0010557,prospective mesoderm,prospective mesoderm
http://purl.obolibrary.org/obo/ECAO_0010558,skeleton,skeleton
http://purl.obolibrary.org/obo/ECAO_0010559,sperm cell,sperm cell
http://purl.obolibrary.org/obo/ECAO_0010560,vegetal hemisphere,vegetal hemisphere
http://purl.obolibrary.org/obo/ECAO_0010561,vegetal tier 1 upper,vegetal tier 1 upper
http://purl.obolibrary.org/obo/ECAO_0010562,vegetal tier 2 upper,vegetal tier 2 upper
http://purl.obolibrary.org/obo/ECAO_0010563,1-cell embryo,1-cell embryo
http://purl.obolibrary.org/obo/ECAO_0010564,acellular anatomical structure,acellular anatomical structure
http://purl.obolibrary.org/obo/ECAO_0010565,anatomical cluster,anatomical cluster
http://purl.obolibrary.org/obo/ECAO_0010566,anatomical entity,anatomical entity
http://purl.obolibrary.org/obo/ECAO_0010567,anatomical region,anatomical region
http://purl.obolibrary.org/obo/ECAO_0010568,anatomical space,anatomical space
http://purl.obolibrary.org/obo/ECAO_0010569,anatomical structure,anatomical structure
http://purl.obolibrary.org/obo/ECAO_0010570,animal hemisphere,animal hemisphere
http://purl.obolibrary.org/obo/ECAO_0010571,animal tier 1,animal tier 1
http://purl.obolibrary.org/obo/ECAO_0010572,blastomere of 2-cell embryo,blastomere of 2-cell embryo
http://purl.obolibrary.org/obo/ECAO_0010573,cell,cell
http://purl.obolibrary.org/obo/ECAO_0010574,cell part,cell part
http://purl.obolibrary.org/obo/ECAO_0010575,cell type,cell type
http://purl.obolibrary.org/obo/ECAO_0010576,early embryonic cell,early embryonic cell
http://purl.obolibrary.org/obo/ECAO_0010577,embryonic structure,embryonic structure
http://purl.obolibrary.org/obo/ECAO_0010578,embryonic tissue,embryonic tissue
http://purl.obolibrary.org/obo/ECAO_0010579,extraembryonic structure,extraembryonic structure
http://purl.obolibrary.org/obo/ECAO_0010580,ganglion,ganglion
http://purl.obolibrary.org/obo/ECAO_0010581,macromeres,macromeres
http://purl.obolibrary.org/obo/ECAO_0010582,mature oocyte,mature oocyte
http://purl.obolibrary.org/obo/ECAO_0010583,mesenchyme,mesenchyme
http://purl.obolibrary.org/obo/ECAO_0010584,mesomeres,mesomeres
http://purl.obolibrary.org/obo/ECAO_0010586,PMC syncytium,PMC syncytium
http://purl.obolibrary.org/obo/ECAO_0010588,spicule,spicule
http://purl.obolibrary.org/obo/ECAO_0010589,subequatorial PMC ring,subequatorial PMC ring
http://purl.obolibrary.org/obo/ECAO_0010590,vegetal hemisphere,vegetal hemisphere
http://purl.obolibrary.org/obo/ECAO_0010591,vegetal tier 1 lower,vegetal tier 1 lower
http://purl.obolibrary.org/obo/ECAO_0010592,vegetal tier 2,vegetal tier 2
http://purl.obolibrary.org/obo/ECAO_0010593,vegetal tier 2 lower,vegetal tier 2 lower
http://purl.obolibrary.org/obo/ECAO_0010594,ventrolateral PMC cluster,ventrolateral PMC cluster
http://purl.obolibrary.org/obo/ECAO_0010595,embryonic nervous system in development,embryonic nervous system in development
http://purl.obolibrary.org/obo/ECAO_0010596,rudiment spicule,rudiment spicule
http://purl.obolibrary.org/obo/ECAO_0010597,sphincteric muscle,sphincteric muscle
http://purl.obolibrary.org/obo/ECAO_0010598,presumptive circumesophageal muscle,presumptive circumesophageal muscle
